district_name,bl,bw,ml,mz,pd,wt,year,total_yield,mz_change,pd_change,wt_change,mz_ma3,mz_std3,pd_ma3,pd_std3,wt_ma3,wt_std3,mz_lag1,pd_lag1,wt_lag1,avg_temp,avg_max_temp,temp_range_stddev,annual_precip,avg_humidity,avg_wind,highheat_days,precip_zscore,avg_temp_lag1,annual_precip_lag1,precip_zscore_lag1,highheat_days_lag1,temp_range_stddev_lag1,CENTROID_LAT,CENTROID_LON
KATHMANDU,889.0,,1000.0,2800.0,5156.0,2311.0,2005,10267.0,0.0,-544.0,-89.0,2956.0,270.19992598074526,5518.666666666667,314.07854643914857,2223.0,233.77125571806292,2800.0,5700.0,2400.0,16.599342465753427,22.07991780821918,2.9123254937807226,1066.25,59.365232876712334,2.0443287671232877,0,0.7010873825631502,16.37073770491803,1241.68,1.2688390821327906,0.0,2.8849086763645406,27.72794323418278,85.34954914085557
KATHMANDU,889.0,,1000.0,2895.0,5100.0,2749.0,2006,10744.0,95.0,-56.0,438.0,2831.6666666666665,54.848275573016636,5318.666666666667,331.42922824236416,2486.6666666666665,231.50449959630012,2800.0,5156.0,2311.0,16.751205479452054,22.108109589041096,2.8500083765666524,1095.98,61.14172602739726,2.0014794520547943,0,0.7973038679317042,16.599342465753427,1066.25,0.7010873825631502,0.0,2.9123254937807226,27.72794323418278,85.34954914085557
KATHMANDU,889.0,,1000.0,3056.0,5350.0,3000.0,2007,11406.0,161.0,250.0,251.0,2917.0,129.4102005253073,5202.0,131.19451208033146,2686.6666666666665,348.70379024801747,2895.0,5100.0,2749.0,16.385068493150687,21.63249315068493,2.810195251865126,1182.69,64.04750684931507,1.9682739726027396,0,1.0779271927318155,16.751205479452054,1095.98,0.7973038679317042,0.0,2.8500083765666524,27.72794323418278,85.34954914085557
KATHMANDU,1000.0,,1000.0,3090.0,5373.0,2463.0,2008,10926.0,34.0,23.0,-537.0,3013.6666666666665,104.16493331891297,5274.333333333333,151.4144422878125,2737.3333333333335,268.69003206917347,3056.0,5350.0,3000.0,16.36311475409836,21.527431693989072,3.035277651457727,1314.44,64.23415300546448,1.9923224043715848,0,1.5043154183391807,16.385068493150687,1182.69,1.0779271927318155,0.0,2.810195251865126,27.72794323418278,85.34954914085557
KATHMANDU,1000.0,,1000.0,2468.0,4435.0,1000.0,2009,7903.0,-622.0,-938.0,-1463.0,2871.3333333333335,349.71035634269344,5052.666666666667,535.0386278889872,2154.3333333333335,1035.1117492007004,3090.0,5373.0,2463.0,17.189835616438355,22.87991780821918,2.7244422330006226,869.88,55.679041095890405,2.090547945205479,0,0.06556665495390301,16.36311475409836,1314.44,1.5043154183391807,0.0,3.035277651457727,27.72794323418278,85.34954914085557
KATHMANDU,1000.0,0.0,1001.0,2873.0,5200.0,2857.0,2010,10930.0,405.0,765.0,1857.0,2810.3333333333335,315.6997518740451,5002.666666666667,499.16563717200154,2106.6666666666665,978.4387223190494,2468.0,4435.0,1000.0,17.348191780821917,22.876821917808222,3.1948856364534524,1006.37,57.91479452054795,2.149123287671233,0,0.5072951476533284,17.189835616438355,869.88,0.06556665495390301,0.0,2.7244422330006226,27.72794323418278,85.34954914085557
KATHMANDU,1000.0,0.0,1000.0,4000.0,5760.0,3354.0,2011,13114.0,1127.0,560.0,497.0,3113.6666666666665,793.8490620598691,5131.666666666667,665.1378303279176,2403.6666666666665,1240.7507136138724,2873.0,5200.0,2857.0,16.252794520547948,21.481534246575343,2.9569866105281366,1084.51,63.91627397260274,2.026767123287671,0,0.7601830106435334,17.348191780821917,1006.37,0.5072951476533284,0.0,3.1948856364534524,27.72794323418278,85.34954914085557
KATHMANDU,1000.0,1000.0,1000.0,3831.0,6101.0,3342.0,2012,13274.0,-169.0,341.0,-12.0,3568.0,607.7902598758889,5687.0,454.9142776391994,3184.3333333333335,283.54247183329136,4000.0,5760.0,3354.0,16.48054644808743,22.19448087431694,2.8817569522725117,1006.9,56.753497267759556,2.1873497267759565,0,0.5090104095855629,16.252794520547948,1084.51,0.7601830106435334,0.0,2.9569866105281366,27.72794323418278,85.34954914085557
KATHMANDU,1000.0,1000.0,1000.0,3342.0,5698.0,2901.0,2013,11941.0,-489.0,-403.0,-441.0,3724.3333333333335,341.7225970481524,5853.0,216.99999999998627,3199.0,258.14530791784586,3831.0,6101.0,3342.0,16.254438356164382,21.572164383561645,3.0185053414666085,1423.04,64.60287671232877,2.0554794520547945,0,1.8557822972838474,16.48054644808743,1006.9,0.5090104095855629,0.0,2.8817569522725117,27.72794323418278,85.34954914085557
LALITPUR,1000.0,,1000.0,1801.0,3891.0,1301.0,1982,6993.0,1.0,-8.0,1.0,1823.3333333333333,39.551653989856504,3730.0,285.81637461839017,1307.0,11.269427669584644,1800.0,3899.0,1300.0,16.480931506849316,22.243506849315068,2.6465103961316245,772.32,55.80208219178082,2.143095890410959,0,-0.25017099430799095,16.175342465753424,1083.52,0.7569790308078499,0.0,2.8618673385668374,27.53938067383556,85.34494276000035
LALITPUR,1000.0,,1000.0,1400.0,4000.0,1169.0,1983,6569.0,-401.0,109.0,-132.0,1667.0,231.22932339995288,3930.0,60.75360071633567,1256.6666666666667,75.92320681671276,1801.0,3891.0,1301.0,16.783397260273972,22.88145205479452,2.693018019991478,500.09000000000003,48.56454794520548,2.227178082191781,0,-1.1312007222555662,16.480931506849316,772.32,-0.25017099430799095,0.0,2.6465103961316245,27.53938067383556,85.34494276000035
LALITPUR,1000.0,,900.0,1800.0,3300.0,1200.0,1984,6300.0,400.0,-700.0,31.0,1667.0,231.22932339995288,3730.3333333333335,376.6435096126486,1223.3333333333333,69.02415036299497,1400.0,4000.0,1169.0,16.626010928961747,22.529999999999998,3.2846173191793757,830.59,51.946284153005465,2.1759562841530053,0,-0.061589272060240174,16.783397260273972,500.09000000000003,-1.1312007222555662,0.0,2.693018019991478,27.53938067383556,85.34494276000035
LALITPUR,1000.0,,1000.0,2000.0,3251.0,1500.0,1985,6751.0,200.0,-49.0,300.0,1733.3333333333333,305.50504633038935,3517.0,419.00715984336114,1289.6666666666667,182.8122898859191,1800.0,3300.0,1200.0,16.811917808219178,22.510383561643838,3.484767706992753,823.03,55.1991506849315,2.172712328767123,0,-0.08605602716909563,16.626010928961747,830.59,-0.061589272060240174,0.0,3.2846173191793757,27.53938067383556,85.34494276000035
LALITPUR,1000.0,,1000.0,1857.0,3419.0,1494.0,1986,6770.0,-143.0,168.0,-6.0,1885.6666666666667,103.03559255584142,3323.3333333333335,86.39637338067682,1398.0,171.49927113547736,2000.0,3251.0,1500.0,16.519835616438357,22.54095890410959,2.894891236075011,653.4300000000001,51.041917808219175,2.2014794520547945,0,-0.6349398454841553,16.811917808219178,823.03,-0.08605602716909563,0.0,3.484767706992753,27.53938067383556,85.34494276000035
LALITPUR,1000.0,,1000.0,1429.0,3969.0,1769.0,1987,7167.0,-428.0,550.0,275.0,1762.0,297.11782174753506,3546.3333333333335,375.5547008537282,1587.6666666666667,157.06792585799718,1857.0,3419.0,1494.0,17.022657534246576,22.901890410958906,3.176529772006422,773.6899999999999,51.90372602739726,2.152986301369863,0,-0.2457372040303284,16.519835616438357,653.4300000000001,-0.6349398454841553,0.0,2.894891236075011,27.53938067383556,85.34494276000035
LALITPUR,1333.0,,1500.0,1645.0,4400.0,1877.0,1988,7922.0,216.0,431.0,108.0,1643.6666666666667,214.00311524212296,3929.3333333333335,491.70146769491464,1713.3333333333333,197.4748929189058,1429.0,3969.0,1769.0,17.14428961748634,22.932540983606557,3.082255094739415,842.14,53.9660655737705,2.123551912568306,0,-0.024209507310600332,17.022657534246576,773.6899999999999,-0.2457372040303284,0.0,3.176529772006422,27.53938067383556,85.34494276000035
LALITPUR,750.0,,1488.0,2500.0,4700.0,1715.0,1990,8915.0,855.0,300.0,-162.0,1858.0,566.3806140750229,4356.333333333333,367.4511305375631,1787.0,82.48636250920504,1645.0,4400.0,1877.0,17.0732602739726,22.77594520547945,2.9923721703325152,781.52,53.10238356164383,2.131671232876712,0,-0.22039663623901387,16.795397260273973,556.27,-0.9493829574387028,0.0,3.0292180597126324,27.53938067383556,85.34494276000035
LALITPUR,1333.0,,1496.0,2728.0,4548.0,1661.0,1991,8937.0,228.0,-152.0,-54.0,2291.0,570.9492096500354,4549.333333333333,150.0044443786026,1751.0,112.40996397117111,2500.0,4700.0,1715.0,17.276054794520547,23.493506849315068,2.8988011233494753,446.09000000000003,47.26953424657535,2.257041095890411,0,-1.3059632587473897,17.0732602739726,781.52,-0.22039663623901387,0.0,2.9923721703325152,27.53938067383556,85.34494276000035
LALITPUR,1000.0,,1600.0,2734.0,4000.0,2008.0,1992,8742.0,6.0,-548.0,347.0,2654.0,133.40164916521857,4416.0,368.19560019098543,1794.6666666666667,186.71457718489285,2728.0,4548.0,1661.0,16.99959016393443,23.33743169398907,2.731569970973713,475.59999999999997,47.22379781420765,2.310109289617486,0,-1.2104587688978767,17.276054794520547,446.09000000000003,-1.3059632587473897,0.0,2.8988011233494753,27.53938067383556,85.34494276000035
LALITPUR,1000.0,,1200.0,2220.0,4200.0,1557.0,1993,7977.0,-514.0,200.0,-451.0,2560.6666666666665,295.0412400552393,4249.333333333333,277.3108965283069,1742.0,236.1588448481233,2734.0,4000.0,2008.0,17.02421917808219,23.217698630136983,2.7253077673199573,542.53,48.37350684931507,2.2275890410958907,0,-0.9938503139460668,16.99959016393443,475.59999999999997,-1.2104587688978767,0.0,2.731569970973713,27.53938067383556,85.34494276000035
LALITPUR,1000.0,,1167.0,2333.0,4245.0,1846.0,1994,8424.0,113.0,45.0,289.0,2429.0,270.11293934204633,4148.333333333333,130.41600106326402,1803.6666666666667,228.46079167623773,2220.0,4200.0,1557.0,17.448,23.871616438356163,2.7328071737544293,431.01,45.77487671232876,2.317835616438356,0,-1.3547673152343656,17.02421917808219,542.53,-0.9938503139460668,0.0,2.7253077673199573,27.53938067383556,85.34494276000035
LALITPUR,1000.0,,1329.0,2469.0,4082.0,1632.0,1995,8183.0,136.0,-163.0,-214.0,2340.6666666666665,124.67691579973155,4175.666666666667,84.18036192208572,1678.3333333333333,149.9677743161287,2333.0,4245.0,1846.0,17.083835616438357,23.16969863013699,3.1043234961112196,600.38,49.270356164383564,2.2661643835616436,0,-0.8066278558710301,17.448,431.01,-1.3547673152343656,0.0,2.7328071737544293,27.53938067383556,85.34494276000035
LALITPUR,122.0,,1325.0,2218.0,3960.0,1698.0,1996,7876.0,-251.0,-122.0,66.0,2340.0,125.6463290351136,4095.6666666666665,142.9906756866801,1725.3333333333333,109.587103864156,2469.0,4082.0,1632.0,17.02344262295082,23.08950819672131,3.1276595043016453,618.49,50.630765027322404,2.2113387978142076,0,-0.7480176792809019,17.083835616438357,600.38,-0.8066278558710301,0.0,3.1043234961112196,27.53938067383556,85.34494276000035
LALITPUR,1056.0,,1325.0,1900.0,4655.0,1585.0,1997,8140.0,-318.0,695.0,-113.0,2195.6666666666665,285.1566820772982,4232.333333333333,371.08803986834903,1638.3333333333333,56.76559991168337,2218.0,3960.0,1698.0,16.59,22.7466301369863,2.7801663891370003,467.35,48.32961643835617,2.253753424657534,0,-1.237158600861905,17.02344262295082,618.49,-0.7480176792809019,0.0,3.1276595043016453,27.53938067383556,85.34494276000035
LALITPUR,6875.0,,1325.0,2100.0,4800.0,1400.0,1998,8300.0,200.0,145.0,-185.0,2072.6666666666665,160.75239759746447,4471.666666666667,449.0081662212096,1561.0,150.44268011438766,1900.0,4655.0,1585.0,17.412739726027397,23.459205479452056,2.906728732670963,601.81,51.82945205479452,2.2041917808219176,0,-0.8019998849972653,16.59,467.35,-1.237158600861905,0.0,2.7801663891370003,27.53938067383556,85.34494276000035
LALITPUR,1143.0,,1300.0,1898.0,4650.0,2003.0,1999,8551.0,-202.0,-150.0,603.0,1966.0,116.0517126112317,4701.666666666667,85.19585279421327,1662.6666666666667,308.91152994560315,2100.0,4800.0,1400.0,17.7746301369863,24.04613698630137,2.9995757577997706,448.91,46.76252054794521,2.267342465753425,0,-1.2968367707305946,17.412739726027397,601.81,-0.8019998849972653,0.0,2.906728732670963,27.53938067383556,85.34494276000035
LALITPUR,1100.0,,1259.0,1900.0,4700.0,2100.0,2000,8700.0,2.0,50.0,97.0,1966.0,116.0517126112317,4716.666666666667,76.37626158259678,1834.3333333333333,379.25760814166046,1898.0,4650.0,2003.0,16.843060109289617,22.740901639344262,3.0289128363626143,666.88,51.82811475409836,2.1946994535519124,0,-0.591411028524618,17.7746301369863,448.91,-1.2968367707305946,0.0,2.9995757577997706,27.53938067383556,85.34494276000035
LALITPUR,1119.0,,1296.0,1687.0,4682.0,2400.0,2001,8769.0,-213.0,-18.0,300.0,1828.3333333333333,122.40234202552305,4677.333333333333,25.324559884295535,2167.6666666666665,206.96940192534095,1900.0,4700.0,2100.0,17.27219178082192,23.297780821917808,2.7788137118273863,584.25,51.291479452054794,2.1824931506849317,0,-0.8588300727897914,16.843060109289617,666.88,-0.591411028524618,0.0,3.0289128363626143,27.53938067383556,85.34494276000035
